Iteration,Best Error
Best Position;Best Error;Best Position Discrete
5.000000,5.000000;50.000000;51,51
4.543818,4.883193;44.491863;46,49
4.343107,4.513738;39.236413;44,46
3.465823,4.450461;31.818533;35,45
2.460584,4.185757;23.575036;25,42
1.380917,4.029723;18.145596;14,41
0.433230,3.691152;13.812293;5,37
-0.009538,3.360634;11.293954;0,34
-0.242215,2.948501;8.752324;-2,30
-0.216923,2.371123;5.669281;-2,24
-0.164876,1.519728;2.336757;-1,16
-0.329610,0.336381;0.221795;-3,4
-0.183660,0.106851;0.045148;-1,2
-0.183660,0.106851;0.045148;-1,2
-0.183660,0.106851;0.045148;-1,2
-0.183660,0.106851;0.045148;-1,2
-0.139721,0.008323;0.019591;-1,1
-0.139721,0.008323;0.019591;-1,1
-0.127926,0.004150;0.016382;-1,1
-0.127926,0.004150;0.016382;-1,1
-0.085135,0.054217;0.010187;0,1
-0.071201,-0.032722;0.006140;0,0
-0.043080,-0.041931;0.003614;0,0
-0.030356,0.014378;0.001128;0,1
-0.010015,0.009058;0.000182;0,1
-0.010015,0.009058;0.000182;0,1
0.007233,0.006302;0.000092;1,1
0.007233,0.006302;0.000092;1,1
0.004988,-0.002189;0.000030;1,0
0.001968,-0.003792;0.000018;1,0
-0.000432,-0.000047;0.000000;0,0
-0.000432,-0.000047;0.000000;0,0
-0.000432,-0.000047;0.000000;0,0
-0.000432,-0.000047;0.000000;0,0
-0.000432,-0.000047;0.000000;0,0
-0.000432,-0.000047;0.000000;0,0
-0.000432,-0.000047;0.000000;0,0
-0.000432,-0.000047;0.000000;0,0
-0.000432,-0.000047;0.000000;0,0
-0.000432,-0.000047;0.000000;0,0
-0.000432,-0.000047;0.000000;0,0
-0.000372,-0.000180;0.000000;0,0
-0.000314,0.000042;0.000000;0,1
-0.000078,-0.000001;0.000000;0,0
-0.000078,-0.000001;0.000000;0,0
-0.000078,-0.000001;0.000000;0,0
0.000055,-0.000035;0.000000;1,0
0.000024,-0.000022;0.000000;1,0
0.000024,-0.000022;0.000000;1,0
-0.000022,0.000014;0.000000;0,1
-0.000009,-0.000022;0.000000;0,0
-0.000009,-0.000022;0.000000;0,0
-0.000009,-0.000022;0.000000;0,0
-0.000009,-0.000022;0.000000;0,0
-0.000004,0.000007;0.000000;0,1
-0.000004,0.000007;0.000000;0,1
-0.000004,0.000007;0.000000;0,1
-0.000004,0.000007;0.000000;0,1
0.000004,0.000006;0.000000;1,1
0.000001,-0.000002;0.000000;1,0
0.000001,-0.000002;0.000000;1,0
0.000001,-0.000002;0.000000;1,0
0.000001,-0.000002;0.000000;1,0
0.000001,-0.000002;0.000000;1,0
-0.000001,0.000001;0.000000;0,1
-0.000001,0.000000;0.000000;0,1
-0.000001,0.000000;0.000000;0,1
0.000000,-0.000001;0.000000;1,0
-0.000000,-0.000000;0.000000;0,0
-0.000000,-0.000000;0.000000;0,0
-0.000000,-0.000000;0.000000;0,0
-0.000000,-0.000000;0.000000;0,0
-0.000000,-0.000000;0.000000;0,0
-0.000000,-0.000000;0.000000;0,0
-0.000000,-0.000000;0.000000;0,0
-0.000000,-0.000000;0.000000;0,0
-0.000000,-0.000000;0.000000;0,0
-0.000000,-0.000000;0.000000;0,0
-0.000000,-0.000000;0.000000;0,0
-0.000000,-0.000000;0.000000;0,0
-0.000000,-0.000000;0.000000;0,0
-0.000000,-0.000000;0.000000;0,0
-0.000000,-0.000000;0.000000;0,0
-0.000000,-0.000000;0.000000;0,0
0.000000,-0.000000;0.000000;1,0
-0.000000,-0.000000;0.000000;0,0
-0.000000,-0.000000;0.000000;0,0
-0.000000,-0.000000;0.000000;0,0
-0.000000,-0.000000;0.000000;0,0
0.000000,0.000000;0.000000;1,1
-0.000000,-0.000000;0.000000;0,0
0.000000,-0.000000;0.000000;1,0
0.000000,-0.000000;0.000000;1,0
0.000000,-0.000000;0.000000;1,0
0.000000,-0.000000;0.000000;1,0
0.000000,-0.000000;0.000000;1,0
0.000000,-0.000000;0.000000;1,0
0.000000,-0.000000;0.000000;1,0
0.000000,0.000000;0.000000;1,1
0.000000,0.000000;0.000000;1,1
